id,Date,APPLICATION,OFFERED,ANSWERED,AVG ANS DELAY,AVG ANS DELAY SECONDS,MAX ANS DELAY,ABANDONED,DelayCallsProduct
20150602-ccc_311_calgary_combined,2015/06/02,ccc_311_calgary_combined,5686,3342,0:08:35,515,,2344,1721130
20150602-ccc_help_script,2015/06/02,ccc_help_script,25,21,0:00:20,20,,4,420
20150602-ccc_priority_script,2015/06/02,ccc_priority_script,43,41,0:00:19,19,,2,779
20150602-ccc_tax_script,2015/06/02,ccc_tax_script,16,7,0:09:40,580,,9,4060
20150603-ccc_311_calgary_combined,2015/06/03,ccc_311_calgary_combined,5226,3269,0:07:54,474,,1957,1549506
20150603-ccc_help_script,2015/06/03,ccc_help_script,7,5,0:00:28,28,,2,140
20150603-ccc_priority_script,2015/06/03,ccc_priority_script,36,35,0:00:19,19,,1,665
20150603-ccc_tax_script,2015/06/03,ccc_tax_script,19,12,0:08:28,508,,7,6096
20150604-ccc_311_calgary_combined,2015/06/04,ccc_311_calgary_combined,5267,3397,0:07:08,428,,1870,1453916
20150604-ccc_help_script,2015/06/04,ccc_help_script,14,13,0:00:13,13,,1,169
20150604-ccc_priority_script,2015/06/04,ccc_priority_script,29,27,0:00:28,28,,2,756
20150604-ccc_tax_script,2015/06/04,ccc_tax_script,24,17,0:08:27,507,,7,8619
20150605-ccc_311_calgary_combined,2015/06/05,ccc_311_calgary_combined,4848,3505,0:05:27,327,,1343,1146135
20150605-ccc_help_script,2015/06/05,ccc_help_script,6,5,0:00:11,11,,1,55
20150605-ccc_priority_script,2015/06/05,ccc_priority_script,29,28,0:00:21,21,,1,588
20150605-ccc_tax_script,2015/06/05,ccc_tax_script,31,16,0:06:53,413,,15,6608
20150606-ccc_311_calgary_combined,2015/06/06,ccc_311_calgary_combined,1799,1608,0:01:17,77,,191,123816
20150606-ccc_help_script,2015/06/06,ccc_help_script,1,1,0:00:21,21,,0,21
20150606-ccc_priority_script,2015/06/06,ccc_priority_script,34,33,0:00:19,19,,1,627
20150607-ccc_311_calgary_combined,2015/06/07,ccc_311_calgary_combined,1696,1486,0:01:26,86,,210,127796
20150607-ccc_help_script,2015/06/07,ccc_help_script,3,3,0:00:23,23,,0,69
20150607-ccc_priority_script,2015/06/07,ccc_priority_script,32,28,0:00:13,13,,4,364
20150608-ccc_311_calgary_combined,2015/06/08,ccc_311_calgary_combined,6036,3822,0:07:24,444,,2214,1696968
20150608-ccc_help_script,2015/06/08,ccc_help_script,16,14,0:00:20,20,,2,280
20150608-ccc_priority_script,2015/06/08,ccc_priority_script,48,45,0:00:20,20,,3,900
20150608-ccc_tax_script,2015/06/08,ccc_tax_script,25,14,0:08:26,506,,11,7084
20150609-ccc_311_calgary_combined,2015/06/09,ccc_311_calgary_combined,5516,3473,0:07:28,448,,2043,1555904
